Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,,,,,,,,,,,,,,,
33.84(3.166),FALSE,FALSE,FALSE,432764,Drawings and Prints,1933,Print collection ornament & architecture,"Head of a bearded man, two hands, and feet, from Livre de portraiture dédié au duc d'Enghien, bound in Oeuvres. Vol. III",NA,NA,NA,NA,NA,Artist|Artist|Publisher,After designs by,Jean Le Pautre|François Perrier|François Bourlier,"French, Paris 1618–1682 Paris|French, Saint-Jean-du-Losne/Mâcon 1584–1650 Paris|French, active 1651–1682",NA,"Le Pautre, Jean|Perrier, François|Bourlier, François",French|French|French,1618      |1584      |1651,1682      |1650      |1682,||,http://vocab.getty.edu/page/ulan/500122209|http://vocab.getty.edu/page/ulan/500012811|,||,17th century,1633,1682,Etching, first state of two (Préaud),"Sheet: 13 3/8 × 8 1/4 in. (34 × 21 cm)
Plate: 5 7/8 × 8 1/2 in. (15 × 21.6 cm)","Harris Brisbane Dick Fund, 1933",NA,Paris,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints|Ornament & Architecture,NA,http://www.metmuseum.org/art/collection/search/432764,NA,NA,"Metropolitan Museum of Art, New York, NY",NA,NA,,,,,,,,,,,,,,
57.650.409(10),FALSE,FALSE,FALSE,421093,Drawings and Prints,1957,Print,"11th Plate, from Trattato delle Piante & Immagini de Sacri Edifizi di Terra Santa (Treatise of the Plans & Images of the Sacred Buildings of the Holy Land)",NA,NA,NA,NA,NA,Artist|Artist|Publisher,After designs by,Bernardino Amico|Jacques Callot|Pietro Cecconcelli,"Italian, active 1593–1619|French, Nancy 1592–1635 Nancy|Italian, active late 16th–early 17th century",", Florence","Amico, Bernardino|Callot, Jacques|Cecconcelli, Pietro",Italian|French|Italian,1593      |1592      |0016,1619      |1635      |0017,||,http://vocab.getty.edu/page/ulan/500057723|http://vocab.getty.edu/page/ulan/500021688|,||,1620,1620,1620,Etching and engraving, first state of two (Lieure),"Sheet: 10 1/16 x 14 3/4 in. (25.6 x 37.5 cm)
Plate: 8 3/16 x 11 7/16 in. (20.8 x 29 cm)","Bequest of Edwin De T. Bechtel, 1957",NA,Florence,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,NA,http://www.metmuseum.org/art/collection/search/421093,NA,NA,"Metropolitan Museum of Art, New York, NY",NA,NA,,,,,,,,,,,,,,
34.30(1),FALSE,FALSE,TRUE,659646,Drawings and Prints,1934,Print,"New Inventions of Modern Times [Nova Reperta], Title Plate",NA,NA,NA,NA,NA,Artist|Artist|Publisher,After|Published by,"Jan van der Straet, called Stradanus|Jan Collaert I|Philips Galle","Netherlandish, Bruges 1523–1605 Florence|Netherlandish, Antwerp ca. 1530–1581 Antwerp|Netherlandish, Haarlem 1537–1612 Antwerp",NA,"Straet, Jan van der, called Stradanus|Collaert, Jan, I|Galle, Philips",Netherlandish|Netherlandish|Netherlandish,1523      |1530      |1537,1605      |1581      |1612,||,http://vocab.getty.edu/page/ulan/500011304|http://vocab.getty.edu/page/ulan/500000822|http://vocab.getty.edu/page/ulan/500016136,||,ca. 1600,1595,1605,Engraving,sheet: 10 5/8 x 7 7/8 in. (27 x 20 cm),"Harris Brisbane Dick Fund, 1934",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,NA,http://www.metmuseum.org/art/collection/search/659646,NA,NA,"Metropolitan Museum of Art, New York, NY",Printing Press|Women|Maps|Cannons,http://vocab.getty.edu/page/aat/300022763|http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/aat/300028094|http://vocab.getty.edu/page/aat/300036936,,,,,,,,,,,,,,,
51.501.752,FALSE,FALSE,FALSE,830867,Drawings and Prints,1951,Print,"Frieze with a woman seated before an old crouching man, surrounded by vases",NA,NA,NA,NA,NA,Artist|Artist|Publisher,After,Odoardo Fialetti|Polidoro da Caravaggio|Justus Sadeler,"Italian, Bologna 1573–1637/38 Venice|Italian, Caravaggio ca. 1499–ca. 1543 Messina|Netherlandish, Antwerp ca. 1572/83–ca. 1620 Leiden",NA,"Fialetti, Odoardo|Caravaggio, Polidoro da|Sadeler, Justus",NA,1573      |1494      |1567,1638      |1548      |1625,||,http://vocab.getty.edu/page/ulan/500024285|http://vocab.getty.edu/page/ulan/500032941|http://vocab.getty.edu/page/ulan/500056505,||,1590–1627,1590,1627,Etching,Sheet: 2 11/16 × 10 1/16 in. (6.8 × 25.6 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1951",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,NA,http://www.metmuseum.org/art/collection/search/830867,NA,NA,"Metropolitan Museum of Art, New York, NY",NA,NA,,,,,,,,,,,,,,,
28.4(50),FALSE,FALSE,FALSE,422788,Drawings and Prints,1928,Print,Grammar from the Seven Liberal Arts,NA,NA,NA,NA,NA,Artist|Artist|Publisher,After,Cornelis Cort|Frans Floris I|Hieronymus Cock,"Netherlandish, Hoorn ca. 1533–1578 Rome|Netherlandish, Antwerp 1519/20–1570 Antwerp|Netherlandish, Antwerp ca. 1510–1570 Antwerp",NA,"Cort, Cornelis|Floris, Frans I|Cock, Hieronymus",Netherlandish|Netherlandish|Netherlandish,1533      |1519      |1510,1578      |1570      |1570,||,http://vocab.getty.edu/page/ulan/500011556|http://vocab.getty.edu/page/ulan/500115614|http://vocab.getty.edu/page/ulan/500005618,||https://www.wikidata.org/wiki/Q640361,1565,1565,1565,Engraving,NA,"Harris Brisbane Dick Fund, 1928",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,NA,http://www.metmuseum.org/art/collection/search/422788,NA,NA,"Metropolitan Museum of Art, New York, NY",NA,NA,,,,,,,,,,,,,,,
62.602.229,FALSE,FALSE,FALSE,334242,Drawings and Prints,1962,Print,A Young Woman Reading a Letter,NA,NA,NA,NA,NA,Artist|Artist|Publisher,After,Jean Etienne Liotard|James McArdell|James McArdell,"Swiss, Geneva 1702–1789 Geneva|Irish, Dublin 1729–1765 London|Irish, Dublin 1729–1765 London",NA,"Liotard, Jean Etienne|McArdell, James|McArdell, James",Swiss|Irish|Irish,1702      |1729      |1729,1789      |1765      |1765,||,http://vocab.getty.edu/page/ulan/500003329|http://vocab.getty.edu/page/ulan/500031163|http://vocab.getty.edu/page/ulan/500031163,||,1754,1754,1754,Mezzotint, first state of three,Sheet: 13 7/8 x 9 3/4 in. (35.2 x 24.8 cm),"Rogers Fund, 1962",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,NA,http://www.metmuseum.org/art/collection/search/334242,NA,NA,"Metropolitan Museum of Art, New York, NY",NA,NA,,,,,,,,,,,,,,
29.18.1,FALSE,FALSE,FALSE,394240,Drawings and Prints,1929,Print,The Bath,NA,NA,NA,NA,NA,Artist|Artist|Publisher,After|Published by,Barthélemy Joseph Fulcran Roger|Pierre Paul Prud'hon|Antoine Augustin Renouard,"French, Lodève 1767–1841 Saulx-lès-Chartreux|French, Cluny 1758–1823 Paris|French, 1765–1853",NA,"Roger, Barthélemy Joseph Fulcran|Prud'hon, Pierre Paul|Renouard, Antoine Augustin",French|French|French,1767      |1758      |1765,1841      |1823      |1853,||,|http://vocab.getty.edu/page/ulan/500003716|,|https://www.wikidata.org/wiki/Q469056|,1800,1800,1800,Etching with stipple and line engraving, third state of three,"image: 4 x 2 1/2 in. (10.1 x 6.4 cm)
sheet: 12 1/8 x 8 3/8 in. (30.8 x 21.3 cm)","Harris Brisbane Dick Fund, 1929",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,NA,http://www.metmuseum.org/art/collection/search/394240,NA,NA,"Metropolitan Museum of Art, New York, NY",NA,NA,,,,,,,,,,,,,,
62.602.711,FALSE,FALSE,FALSE,431233,Drawings and Prints,1962,Print,Adoration,NA,NA,NA,NA,NA,Artist|Artist|Publisher,after,"Caroline Watson|Sir William Beechey|Rudolph Ackermann, London","British, London 1760/61–1814 London|British, Burford, Oxfordshire 1753–1839 Hampstead|active 1794–1829",NA,"Watson, Caroline|Beechey, William, Sir|Ackermann, Rudolph",British|British,1760      |1753      |1764,1814      |1839      |1834,Female||,http://vocab.getty.edu/page/ulan/500030187|http://vocab.getty.edu/page/ulan/500014785|(not assigned),https://www.wikidata.org/wiki/Q16859203|https://www.wikidata.org/wiki/Q48566|https://www.wikidata.org/wiki/Q70993,1801,1801,1801,Stipple engraving, printed in dark brown ink,"Image: 10 1/16 × 8 1/8 in. (25.5 × 20.6 cm)
Plate: 12 3/8 × 9 5/8 in. (31.4 × 24.4 cm)
Sheet: 13 3/16 × 10 3/8 in. (33.5 × 26.4 cm)","Rogers Fund, 1962",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,NA,http://www.metmuseum.org/art/collection/search/431233,NA,NA,"Metropolitan Museum of Art, New York, NY",NA,NA,,,,,,,,,,,,,,
59.570.132,FALSE,FALSE,FALSE,646120,Drawings and Prints,1959,Print,"The Holy Family with Saints Zacharias and Elizabeth, seated in a landscape",NA,NA,NA,NA,NA,Artist|Artist|Publisher,After,Pieter de Jode II|Titian (Tiziano Vecellio)|Anthony Bonenfant,"Flemish, 1606–ca. 1674|Italian, Pieve di Cadore ca. 1485/90?–1576 Venice|Flemish, active by 1598–died 1644 Paris",NA,"Jode, Pieter de II|Titian (Tiziano Vecellio)|Bonenfant, Anthony",Flemish|Italian,1606      |1485      |1598,1674      |1576      |1644,||,http://vocab.getty.edu/page/ulan/500009552|http://vocab.getty.edu/page/ulan/500031075|,|https://www.wikidata.org/wiki/Q47551|,ca. 1630–40,1630,1640,Engraving,Sheet (Trimmed): 15 1/16 × 19 11/16 in. (38.3 × 50 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1959",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,NA,http://www.metmuseum.org/art/collection/search/646120,NA,NA,"Metropolitan Museum of Art, New York, NY",NA,NA,,,,,,,,,,,,,,,
59.533.1336(3),FALSE,FALSE,TRUE,786769,Drawings and Prints,1959,Print,How to Vault from the Saddle,NA,NA,NA,NA,NA,Artist|Artist|Publisher|Artist,After|After,George Moutard Woodward|Thomas Rowlandson|Thomas Tegg|Henry William Bunbury,"British, ca. 1760–1809 London|British, London 1757–1827 London|British, 1776–1846|British, Mildenhall, Suffolk 1750–1811 Keswick, Cumberland",NA,"Woodward, George Moutard|Rowlandson, Thomas|Tegg, Thomas|Bunbury, Henry William",NA,1760      |1757      |1776      |1750,1809      |1827      |1846      |1811,|||,http://vocab.getty.edu/page/ulan/500028564|http://vocab.getty.edu/page/ulan/500006930|(not assigned)|http://vocab.getty.edu/page/ulan/500013604,https://www.wikidata.org/wiki/Q5542664|https://www.wikidata.org/wiki/Q318584|https://www.wikidata.org/wiki/Q7794394|https://www.wikidata.org/wiki/Q3133158,1809,1809,1809,Hand-colored etching,Sheet: 4 1/16 × 6 3/8 in. (10.3 × 16.2 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1959",NA,London,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,NA,http://www.metmuseum.org/art/collection/search/786769,NA,NA,"Metropolitan Museum of Art, New York, NY",Satire|Men|Women|Horse Riding,http://vocab.getty.edu/page/aat/300055934|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/aat/300249313,,,,,,,,,,,,,,,
45.17(3),FALSE,FALSE,FALSE,630081,Drawings and Prints,1945,Print,"Cheese Vendor, from Di Bologna l'Arti per via D'An.ibal' Ca.rac, plate 3",NA,NA,NA,NA,NA,Artist|Artist|Publisher|Printer,After designs by|First published by|Re-printed by,Giuseppe Maria Mitelli|Annibale Carracci|Giovanni Giacomo De Rossi|La Calcografia Camerale,"Italian, Bologna (?) 1634–1718 Bologna|Italian, Bologna 1560–1609 Rome|Italian, Rome 1627–1691 Rome",NA,"Mitelli, Giuseppe Maria|Carracci, Annibale|Rossi, Giovanni Giacomo De|Calcografia, Camerale La",Italian|Italian|Italian|Italian,1634      |1560      |1627,1718      |1609      |1691,|||,http://vocab.getty.edu/page/ulan/500018469|http://vocab.getty.edu/page/ulan/500115350|http://vocab.getty.edu/page/ulan/500353716|,|https://www.wikidata.org/wiki/Q7824||,printed 1740,1740,1740,Etching, third state of three (Bertarelli),"Sheet: 16 1/8 × 10 15/16 in. (40.9 × 27.8 cm)
Plate: 11 × 7 5/8 in. (28 × 19.4 cm)","Harris Brisbane Dick Fund, 1945",NA,Rome,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,NA,http://www.metmuseum.org/art/collection/search/630081,NA,NA,"Metropolitan Museum of Art, New York, NY",NA,NA,,,,,,,,,,,,,,
1982.1182.633–.637,FALSE,FALSE,TRUE,288152,Photographs,1982,Stereographs,[Group of 5 Stereograph Views of Canals],NA,NA,NA,NA,NA,Artist|Artist|Publisher|Publisher|Publisher|Publisher,NA,Unknown|Unknown|American Scenery|Union View Company|American Scenery|H. L. & G. E. Williams,American|American|American|American|American,NA,Unknown|Unknown|American Scenery|Union View Company|American Scenery|H. L. & G. E. Williams,American|American|American|American,NA,NA,|||||,http://vocab.getty.edu/page/ulan/500125274|http://vocab.getty.edu/page/ulan/500125274||||,https://www.wikidata.org/wiki/Q24238356|https://www.wikidata.org/wiki/Q24238356||||,1860s–80s,1860,1889,Albumen silver prints,Mounts approximately: 8.9 x 17.8 cm (3 1/2 x 7 in.),"Gift of Weston J. Naef, in memory of Kathleen W. Naef and Weston J. Naef Sr., 1982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Photographs,NA,http://www.metmuseum.org/art/collection/search/288152,NA,NA,"Metropolitan Museum of Art, New York, NY",Canals,http://vocab.getty.edu/page/aat/300006075,,,,,,,,,,,,,,,
51.501.7581,FALSE,FALSE,TRUE,771988,Drawings and Prints,1951,Print,Portrait of Cosimo I de' Medici,NA,NA,NA,NA,NA,Artist|Artist|Sitter,After,"Peter Paul Rubens|Lucas Vorsterman I|Cosimo I de' Medici, Grand Duke of Tuscany","Flemish, Siegen 1577–1640 Antwerp|Flemish, Zaltbommel 1595–1675 Antwerp|Italian, Florence 1519–1574 Florence",NA,"Rubens, Peter Paul|Vosterman, Lucas I|Medici, Cosimo I de', Grand Duke of Tuscany",NA,1577      |1595      |1519,1640      |1675      |1574,||,http://vocab.getty.edu/page/ulan/500002921|http://vocab.getty.edu/page/ulan/500014123|,https://www.wikidata.org/wiki/Q5599|https://www.wikidata.org/wiki/Q897552|,1610–50,1610,1650,Engraving, only state,Sheet (Trimmed): 6 15/16 × 4 3/4 in. (17.7 × 12 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1951",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,NA,http://www.metmuseum.org/art/collection/search/771988,NA,NA,"Metropolitan Museum of Art, New York, NY",Men|Portraits|Profiles,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300015637|http://vocab.getty.edu/page/aat/300123319,,,,,,,,,,,,,,
2012.136.890,FALSE,FALSE,TRUE,399832,Drawings and Prints,2012,Print,"Portrait of the future Holy Roman Emperor Leopold II as the Archduke of Austria and Grand Duke of Tuscany, set within a roundel upper left, allegorical figures representing the arts and sciences below",NA,NA,NA,NA,NA,Artist|Artist|Sitter,After,Giuseppe Zocchi|Carlo Faucci|Holy Roman Emperor Leopold II,"Italian, Florence 1711–1767 Florence|Italian, 1729–ca. 1784",NA,"Zocchi, Guiseppe|Faucci, Carlo|Leopold II of Habsburg-Lorraine, Holy Roman Emperor",Italian|Italian,1711      |1729      |1747,1767      |1784      |1792,||,http://vocab.getty.edu/page/ulan/500017014||,||,ca. 1760–67,1755,1765,Engraving,Sheet (Trimmed): 9 3/16 × 6 9/16 in. (23.4 × 16.7 cm),"Bequest of Phyllis Massar, 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,NA,http://www.metmuseum.org/art/collection/search/399832,NA,NA,"Metropolitan Museum of Art, New York, NY",Lions|Men|Portraits|Women,http://vocab.getty.edu/page/aat/300310388|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300015637|http://vocab.getty.edu/page/aat/300025943,,,,,,,,,,,,,,,
23.3.9,FALSE,FALSE,FALSE,843524,Drawings and Prints,NA,Print,Mrs. Robinson,NA,NA,NA,NA,NA,Artist|Artist|Sitter,After,"S. Arlent Edwards|George Romney|Mary ""Perdita"" Robinson","American (born England), Somerset 1862–1938 Westport, Connecticut|British, Beckside, Lancashire 1734–1802 Kendal, Cumbria|British, 1758–1800",NA,"Edwards, S. Arlent|Romney, George|Robinson, Mary",NA,1862      |1734      |1758,1938      |1802      |1800,||,|http://vocab.getty.edu/page/ulan/500115779|,|https://www.wikidata.org/wiki/Q371280|,1900–23,1900,1923,Mezzotint,Sheet: 18 1/8 × 12 1/8 in. (46 × 30.8 cm),"Gift of S. Arlent Edwards, 1923",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,NA,http://www.metmuseum.org/art/collection/search/843524,NA,NA,"Metropolitan Museum of Art, New York, NY",NA,NA,,,,,,,,,,,,,,,
30.15.4,FALSE,FALSE,TRUE,394443,Drawings and Prints,1930,Print,Robert C. Sands,NA,NA,NA,NA,NA,Artist|Artist|Sitter,After,Asher Brown Durand|Robert Walter Weir|Robert C. Sands,"American, Jefferson, New Jersey 1796–1886 Maplewood, New Jersey|American, New Rochelle, New York 1803–1889 New York|American, 1799–1832",NA,"Durand, Asher Brown|Weir, Robert Walter|Sands, Robert C.",American|American|American,1796      |1803      |1799,1886      |1889      |1832,||,http://vocab.getty.edu/page/ulan/500026080|http://vocab.getty.edu/page/ulan/500032615|,https://www.wikidata.org/wiki/Q391608|https://www.wikidata.org/wiki/Q3695965|,ca. 1829,1824,1834,Steel engraving, second state of two,plate: 8 7/8 x 5 13/16 in. (22.6 x 14.8 cm),"Gift of Mrs. Frederic F. Durand, 1930",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,NA,http://www.metmuseum.org/art/collection/search/394443,NA,NA,"Metropolitan Museum of Art, New York, NY",Men|Portraits,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300015637,,,,,,,,,,,,,,
30.15.31,FALSE,FALSE,TRUE,394424,Drawings and Prints,1930,Print,Lindley Murray,NA,NA,NA,NA,NA,Artist|Artist|Sitter,After,Asher Brown Durand|E. Westoby|Lindley Murray,"American, Jefferson, New Jersey 1796–1886 Maplewood, New Jersey|British, born 1775, active 1806–1823|British, 1745–1826",NA,"Durand, Asher Brown|Westoby, E.|Murray, Lindley",American|British|British,1796      |1775      |1745,1886      |1823      |1826,||,http://vocab.getty.edu/page/ulan/500026080|http://vocab.getty.edu/page/ulan/500023674|,https://www.wikidata.org/wiki/Q391608||,1827,1827,1827,Engraving,sheet: 10 1/8 x 7 9/16 in. (25.7 x 19.2 cm),"Gift of Mrs. Frederic F. Durand, 1930",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,NA,http://www.metmuseum.org/art/collection/search/394424,NA,NA,"Metropolitan Museum of Art, New York, NY",Men|Portraits,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300015637,,,,,,,,,,,,,,,
24.80.134,FALSE,FALSE,TRUE,423181,Drawings and Prints,1924,Print,Portrait of Jean-Michel Moreau,NA,NA,NA,NA,NA,Artist|Artist|Sitter,After,Augustin de Saint-Aubin|Charles Nicolas Cochin II|Jean Michel Moreau the Younger,"French, Paris 1736–1807 Paris|French, Paris 1715–1790 Paris|French, Paris 1741–1814 Paris",NA,"Saint-Aubin, Augustin de|Cochin, Charles Nicolas, II|Moreau, Jean Michel, the Younger",French|French|French,1736      |1715      |1741,1807      |1790      |1814,||,http://vocab.getty.edu/page/ulan/500015068|http://vocab.getty.edu/page/ulan/500021138|http://vocab.getty.edu/page/ulan/500028967,||,1787,1787,1787,Etching and engraving, third state of three (Bocher),"Sheet: 8 7/16 × 7 3/8 in. (21.4 × 18.8 cm)
Plate: 5 3/8 × 4 1/2 in. (13.6 × 11.4 cm)","Anonymous Gift, 1924",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,NA,http://www.metmuseum.org/art/collection/search/423181,NA,NA,"Metropolitan Museum of Art, New York, NY",Men|Profiles,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300123319,,,,,,,,,,,,,,
91.1.29,FALSE,FALSE,TRUE,416882,Drawings and Prints,1891,Print,Trade card for James Figg,NA,NA,NA,NA,NA,Artist|Artist|Subject,Formerly attributed to|Formerly attributed to,"William Hogarth|Joseph Sympson, Jr.|James Figg","British, London 1697–1764 London|British, active 1727–36|British, 1684–1734",NA,"Hogarth, William|Sympson, Joseph, Jr.|Figg, James",British|British|British,1697      |1700      |1684,1764      |1800      |1734,||,http://vocab.getty.edu/page/ulan/500004242||,https://www.wikidata.org/wiki/Q171344||,1790s,1790,1799,Etching,"Plate: 7 11/16 x 6 9/16 in. (19.5 x 16.6 cm)
Sheet: 8 1/4 x 6 15/16 in. (20.9 x 17.6 cm)","Gift of Sarah Lazarus, 1891",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,NA,http://www.metmuseum.org/art/collection/search/416882,NA,NA,"Metropolitan Museum of Art, New York, NY",Swords|Men|Athletes,http://vocab.getty.edu/page/aat/300037048|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300236025,,,,,,,,,,,,,,,
2014.8.3,FALSE,FALSE,FALSE,634168,Photographs,2014,Artist's book,Semina 3,NA,NA,NA,NA,NA,Artist|Author,NA,Wallace Berman|Michael McClure,"American, Staten Island, New York 1926–1976 Topanga Canyon, California|American, born Marysville, Kansas 1932",NA,"Berman, Wallace|McClure, Michael",American|American,1926      |1932,1976,|,http://vocab.getty.edu/page/ulan/500025293|,|,1958,1958,1958,Mixed media artist’s publication,"Title sheet: 6 3/8 × 8 7/8 in. (16.2 × 22.6 cm)
Poem: 22 in. × 6 3/8 in. (55.9 × 16.2 cm)
Colophon: 1 15/16 × 2 11/16 in. (4.9 × 6.9 cm)
Mounts: 11 × 9 in. (28 × 22.8 cm), each","Horace W. Goldsmith Foundation, through Joyce and Robert Menschel, and Joyce F. Menschel Photography Library Funds, 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Periodicals,NA,http://www.metmuseum.org/art/collection/search/634168,NA,NA,"Metropolitan Museum of Art, New York, NY",NA,NA,,,,,,,,,,,,,,,
1970.301.53,FALSE,FALSE,TRUE,452162,Islamic Art,1970,Folio from an illustrated manuscript,"""Isfandiyar's Sixth Course: He Comes Through the Snow"", Folio 438r from the Shahnama (Book of Kings) of Shah Tahmasp",NA,NA,NA,NA,NA,Artist|Author,Painting attributed to,'Abd al-Vahhab|Abu'l Qasim Firdausi,"Iranian, Paj ca. 940/41–1020 Tus",NA,'Abd ul-Vahhab|Abu'l Qasim Firdausi,NA,935,1020,|,|,|https://www.wikidata.org/wiki/Q43459,ca. 1525–30,1500,1555,"Opaque watercolor, ink, silver, and gold on paper","Painting: H. 11 1/8 x W. 7 7/16 in. (H. 28.2 x W. 18.9 cm)
Entire Page: H. 18 9/16 x W. 12 11/16 in. (H. 47.1 x W. 32.2 cm)","Gift of Arthur A. Houghton Jr., 1970",Made in,Tabriz,NA,NA,Iran,NA,NA,NA,NA,NA,NA,Codices,NA,http://www.metmuseum.org/art/collection/search/452162,NA,NA,"Metropolitan Museum of Art, New York, NY",Army|Camels|Horses,http://vocab.getty.edu/page/aat/300137542|http://vocab.getty.edu/page/aat/300250139|http://vocab.getty.edu/page/aat/300250148,,,,,,,,,,,,,,,
46.49.18,FALSE,FALSE,TRUE,385572,Drawings and Prints,1946,Block,"The Portage Sleigh on a Lumber Road, for ""Antoine's Moose-Yard,"" for ""Harper's New Monthly Magazine,"" October 1890",NA,NA,NA,NA,NA,Artist|Author,Relates to a story by,Frederic Remington|Julian Ralph,"American, Canton, New York 1861–1909 Ridgefield, Connecticut|American, 1853–1903",NA,"Remington, Frederic|Ralph, Julian",American,1861      |1853,1909      |1903,|,http://vocab.getty.edu/page/ulan/500024759|,https://www.wikidata.org/wiki/Q560787|,1890,1890,1890,Woodblock,block: 3 1/8 x 4 3/4 x 7/8 in. (7.9 x 12.1 x 2.2 cm),"Harris Brisbane Dick Fund, 1946",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Blocks,NA,http://www.metmuseum.org/art/collection/search/385572,NA,NA,"Metropolitan Museum of Art, New York, NY",Human Figures|Horses,http://vocab.getty.edu/page/aat/300404114|http://vocab.getty.edu/page/aat/300250148,,,,,,,,,,,,,,,
67.806.1,FALSE,FALSE,FALSE,364114,Drawings and Prints,1967,Drawing,"Illustration for Voltaire's ""Candide""",NA,NA,NA,NA,NA,Artist|Author,Related author,Norman Tealby|François-Marie Arouet (Voltaire),"British, born London 1885|French, 1694–1778",NA,"Tealby, Norman|Arouet, François-Marie",British?|French,1885      |1694,1985      |1778,|,|,|,ca. 1928,1923,1933,Pen and ink,sheet: 5 1/4 x 4 1/8 in. (13.3 x 10.5 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1967",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Drawings,NA,http://www.metmuseum.org/art/collection/search/364114,NA,NA,"Metropolitan Museum of Art, New York, NY",Men|Cross,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300235443,,,,,,,,,,,,,,,
1975.504.1,FALSE,FALSE,FALSE,261234,Photographs,1975,Photographically illustrated book,"The Delaware Water Gap: Its Scenery, Its Legends and Its Early History",NA,NA,NA,NA,NA,Artist|Author,NA,Jesse Albert Graves|Luke Wills Brodhead,"American, 1835–1895|American, 1845–1902",NA,"Graves, Jesse Albert|Brodhead, Luke Wills",American|American,1835      |1845,1895      |1902,|,|,|,1860s,1860,1869,Albumen silver prints,NA,"Purchase, 1975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Books,NA,http://www.metmuseum.org/art/collection/search/261234,NA,NA,"Metropolitan Museum of Art, New York, NY",NA,NA,,,,,,,,,,,,,,,
